address,suburb,price,bedrooms,bathrooms,garage,landarea,floorarea,buildarea,neareststn,neareststndist,postcode,nearestsch,nearestschdist,nearestschrnk
1 Bellata Place,Kenwick,275000,3,1,1,570,108,1996,Madding,1900,6107,REHOBOTH CHRISTIAN COLLEGE,1.296626334,
1 Bellier Place,Hamilton Hill,410000,4,2,1,808,155,1983,Fremantle Station,5800,6163,PORT SCHOOL,1.173982947,
1 Belmont Close,Port Kennedy,315000,4,2,2,550,127,1999,Warnbro Station,4300,6172,WARNBRO COMMUNITY HIGH SCHOOL,2.016747892,
1 Belvedere Rise,Roleystone,795000,4,3,6,2095,254,NULL,Kelmscott Station,5800,6111,KELMSCOTT SENIOR HIGH SCHOOL,6.049553882,113
1 Benowa Drive,Glen Forrest,600000,4,2,4,2028,222,1988,Midland Station,10400,6071,HELENA COLLEGE,1.634924182,78
1 Bianco Place,Secret Harbour,400000,4,2,2,672,186,2002,Warnbro Station,7900,6173,COMET BAY COLLEGE,2.197314944,35
1 Bignell Place,Herne Hill,350000,3,1,2,797,177,1974,Midland Station,7600,6056,SWAN CHRISTIAN COLLEGE,3.788223563,93
1 Bindoon Close,Gwelup,835000,4,2,2,480,170,1998,Warwick Station,2800,6018,BALCATTA SENIOR HIGH SCHOOL,1.509007988,135
1 Binnia Mews,Harrisdale,482000,4,2,2,469,152,2008,Cockburn Central Station,5700,6112,CAREY BAPTIST COLLEGE,1.784415086,62
1 Binns Court,North Fremantle,1260000,3,3,2,354,227,2000,North Fremantle Station,387,6159,IONA PRESENTATION COLLEGE,2.427821859,17
1 Bishops Close,Quinns Rocks,405000,3,2,4,781,156,1989,Butler Station,3800,6030,PETER MOYES ANGLICAN COMMUNITY SCHOOL,0.774913817,55
1 Bittern Close,Maida Vale,465000,3,2,2,620,143,2002,Midland Station,7300,6057,DARLING RANGE SPORTS COLLEGE,2.295611114,137
1 Blato Place,Spearwood,560000,5,2,2,592,168,1996,Cockburn Central Station,7500,6163,PORT SCHOOL,3.736130486,
1 Bohemia Way,Parkwood,380000,3,1,2,979,122,1978,Thornlie Station,4400,6147,LYNWOOD SENIOR HIGH SCHOOL,1.12289063,96
1 Boncath Road,Butler,360000,3,2,2,397,130,2006,Butler Station,372,6036,BUTLER COLLEGE,1.652201534,39
1 Bonita Way,Tapping,540000,4,2,2,641,221,2005,Currambine Station,4800,6065,JOSEPH BANKS SECONDARY COLLEGE,1.959016413,92
1 Boronia Court,Thornlie,420000,3,2,2,680,163,1991,Thornlie Station,3400,6108,THORNLIE SENIOR HIGH SCHOOL,1.735659976,125
1 Borough Road,Baldivis,330000,4,2,2,495,171,2011,Warnbro Station,5600,6171,TRANBY COLLEGE,2.668401882,62
1 Bourke Street,Kensington,705000,3,1,6,774,132,1952,Oats Street Station,3200,6151,KENT STREET SENIOR HIGH SCHOOL,1.093286046,93
1 Bowood Cove,Kiara,615000,4,2,2,818,247,1994,Bassendean Station,2600,6054,KIARA COLLEGE,0.546428881,
1 Bradbury Road,Hamilton Hill,565000,3,2,2,775,151,1960,Fremantle Station,4800,6163,SETON CATHOLIC COLLEGE,0.830766358,91
1 Bradford Street,Menora,850000,3,1,1,917,120,1959,Mount Lawley Station,2100,6050,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.401390589,20
1 Bradstocks Grove,Southern River,780000,4,2,2,447,305,2015,Thornlie Station,5800,6110,PROVIDENCE CHRISTIAN COLLEGE,1.496349534,38
1 Bramley Way,Bibra Lake,520000,3,3,2,358,154,2001,Cockburn Central Station,3900,6163,PERTH WALDORF SCHOOL,1.526177504,
1 Brassey Street,Swanbourne,1100000,3,1,1,619,150,1945,Swanbourne Station,658,6010,SCOTCH COLLEGE,0.571453884,24
1 Brentwood Way,The Vines,590000,5,2,2,834,246,2004,Midland Station,15600,6069,HOLY CROSS COLLEGE,3.964054249,98
1 Brilliant Rise,Stratton,312000,4,2,3,561,101,1993,Midland Station,4400,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.207307702,
1 Briston Place,North Beach,900000,3,2,3,372,213,2008,Warwick Station,3400,6020,CARINE SENIOR HIGH SCHOOL,1.260227154,47
1 Bristow Street,Haynes,177000,3,1,NULL,412,150,2015,Armadale Station,2400,6112,DALE CHRISTIAN SCHOOL,1.003239944,
1 Brittain Avenue,Madeley,580000,4,2,2,541,188,2004,Greenwood Station,3900,6065,KINGSWAY CHRISTIAN COLLEGE,1.257943569,50
1 Brix Street,Wembley Downs,1310000,4,2,2,544,246,2010,Glendalough Station,4400,6019,HALE SCHOOL,0.910882078,6
1 Brixton Road,Bentley,470000,3,2,2,295,110,1950,Welshpool Station,1300,6102,CANNING COLLEGE,1.822111915,
1 Bruning Road,Manning,717000,3,2,2,578,176,1995,Canning Bridge Station,1400,6152,COMO SECONDARY COLLEGE,0.583853986,87
1 Buckie Court,Warwick,650000,4,2,1,715,170,NULL,Warwick Station,627,6024,GREENWOOD COLLEGE,1.500365838,86
1 Bull Place,Queens Park,387000,4,1,4,380,114,1998,Queens Park Station,594,6107,ST NORBERT COLLEGE,0.265398631,42
1 Bynder Lane,Medina,330000,3,2,2,233,111,2014,Kwinana Station,3300,6167,GILMORE COLLEGE,0.958686091,138
1 Cabarita Road,Kalamunda,605000,2,1,NULL,2578,180,1977,Madding,9200,6076,ST BRIGID'S COLLEGE,1.142802125,99
1 Cadiz Way,Bullsbrook,380000,3,2,2,350,156,2016,Midland Station,24600,6084,HOLY CROSS COLLEGE,14.25708247,98
1 Caladenia Way,Koongamia,85000,2,1,2,828,117,1965,Midland Station,4300,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.488743831,
1 Cam Court,Merriwa,345000,3,2,2,603,128,1992,Butler Station,3800,6030,ALKIMOS BAPTIST COLLEGE,0.872777977,
1 Camden Boulevard,Aubin Grove,528000,4,2,2,619,180,2008,Cockburn Central Station,4900,6164,ATWELL COLLEGE,2.757298788,129
1 Cameron Street,Karrinyup,1350000,4,1,5,802,266,2012,Warwick Station,3500,6018,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.133915617,7
1 Camira Place,Gooseberry Hill,735000,4,2,2,1940,223,1982,Midland Station,8500,6076,KALAMUNDA SENIOR HIGH SCHOOL,2.964150431,107
1 Camrose Lane,Darch,442500,4,2,2,529,176,2005,Greenwood Station,6400,6065,ASHDALE SECONDARY COLLEGE,0.90807912,75
1 Canarias Way,Hillarys,1015000,3,2,2,500,312,2003,Greenwood Station,3900,6025,SACRED HEART COLLEGE,1.17734603,19
1 Cannon Court,Alexander Heights,530000,3,2,4,771,200,1985,Warwick Station,7500,6064,MERCY COLLEGE,2.340057578,46
1 Canny Road,St James,515000,3,1,2,688,90,1958,Welshpool Station,1700,6102,CANNING COLLEGE,1.416253148,
1 Carnegie Road,Bassendean,1100000,4,2,4,1012,251,2005,Success Hill Station,843,6054,CYRIL JACKSON SENIOR CAMPUS,1.518882478,
1 Carroll Street,Ardross,1265000,4,3,2,590,261,2005,Canning Bridge Station,3000,6153,APPLECROSS SENIOR HIGH SCHOOL,0.645276943,34
1 Cartland Court,Bedfordale,750000,4,3,2,4225,236,2003,Armadale Station,4100,6112,SOUTHERN HILLS CHRISTIAN COLLEGE,3.898177203,
1 Caterpillar Road,Success,472500,4,2,4,446,147,2008,Cockburn Central Station,3600,6164,ATWELL COLLEGE,2.094911833,129
1 Caxton Lane,Ballajura,392500,4,2,NULL,532,185,NULL,Bayswater Station,7800,6066,BALLAJURA COMMUNITY COLLEGE,1.136160905,133
1 Centaur Circle,Woodbridge,900000,4,2,2,454,263,NULL,Midland Station,343,6056,YOUTH FUTURES COMMUNITY SCHOOL,0.831018999,
1 Cessford Close,Leda,380000,5,2,2,642,153,1994,Wellard Station,1200,6170,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,1.214505175,
1 Challenger Avenue,Manning,590000,3,2,2,449,179,2001,Canning Bridge Station,1600,6152,COMO SECONDARY COLLEGE,0.98847821,87
1 Chamberlain Circle,Bateman,835000,4,2,2,727,179,1985,Bull Creek Station,785,6150,CORPUS CHRISTI COLLEGE,0.80250226,28
1 Charleston Road,Eglinton,495000,4,2,2,432,155,2015,Butler Station,5400,6034,YANCHEP SECONDARY COLLEGE,5.284579808,
1 Chauvel Court,Kiara,390000,4,2,3,543,111,1994,Bassendean Station,2100,6054,KIARA COLLEGE,1.192517672,
1 Chester Court,Orelia,280000,3,1,2,806,119,1970,Kwinana Station,1500,6167,GILMORE COLLEGE,1.182257109,138
1 Chiddington Street,Beckenham,355000,3,1,2,953,140,1974,Kenwick Station,852,6107,COMMUNICARE ACADEMY,0.94452528,
1 Chipala Court,Edgewater,465000,4,2,4,697,160,1987,Edgewater Station,1200,6027,MATER DEI COLLEGE,1.742052381,104
1 Citrus Loop,South Lake,372000,3,2,2,402,135,NULL,Cockburn Central Station,3500,6164,LAKELAND SENIOR HIGH SCHOOL,1.529299582,
1 Claret Ash Court,Helena Valley,685000,4,2,2,1012,180,1994,Midland Station,3600,6056,YOUTH FUTURES COMMUNITY SCHOOL,3.135863661,
1 Clarke Street,East Cannington,360000,3,2,2,218,130,2006,Canning,442,6107,SEVENOAKS SENIOR COLLEGE,0.66706852,114
1 Clearwater Way,Singleton,320000,4,2,2,550,185,2006,Mandurah Station,10300,6175,COMET BAY COLLEGE,2.245408525,35
1 Clifford Loop,Darch,492000,3,2,2,289,122,2008,Greenwood Station,6100,6065,ASHDALE SECONDARY COLLEGE,0.866779698,75
1 Cliverton Court,Marmion,974000,5,2,2,766,290,1990,Warwick Station,3600,6020,CARINE SENIOR HIGH SCHOOL,1.857116986,47
1 Clovertree Street,Maddington,435000,4,2,5,1062,177,1988,Gosnells Station,2000,6109,LUMEN CHRISTI COLLEGE,1.645874346,122
1 Cobea Court,Mount Claremont,900000,3,2,2,367,160,1995,Loch Street Station,640,6010,JOHN XXIII COLLEGE,0.825896733,8
1 Cockman Road,Greenwood,405000,3,1,3,698,110,1975,Warwick Station,2100,6024,WARWICK SENIOR HIGH SCHOOL,0.600502427,
1 Cohen Place,Beechboro,290000,3,1,1,782,111,1978,Success Hill Station,2800,6063,KIARA COLLEGE,1.772153344,
1 Collier Street,Wembley,1160000,2,2,1,635,201,1950,Glendalough Station,1800,6014,BOLD PARK COMMUNITY SCHOOL,0.828355781,
1 Colmworth Way,Butler,415000,3,2,2,555,159,2004,Butler Station,1700,6036,BUTLER COLLEGE,0.478464315,39
1 Colonial Mews,Edgewater,525000,4,2,1,758,125,1984,Edgewater Station,670,6027,MATER DEI COLLEGE,0.275135216,104
1 Conical Way,Harrisdale,629000,4,2,3,578,229,2012,Cockburn Central Station,6800,6112,CAREY BAPTIST COLLEGE,0.705011533,62
1 Convallis Vista,The Vines,600000,4,2,2,510,217,2007,Midland Station,14300,6069,HOLY CROSS COLLEGE,3.089274716,98
1 Corbin Gate,Madeley,427000,3,2,2,618,134,2005,Greenwood Station,4200,6065,KINGSWAY CHRISTIAN COLLEGE,1.096690947,50
1 Coronado Ridge,Iluka,1015000,5,3,2,911,309,1995,Joondalup Station,3200,6028,PRENDIVILLE CATHOLIC COLLEGE,1.364734634,60
1 Corvette Close,Waikiki,445000,4,2,2,747,210,1991,Warnbro Station,1900,6169,SOUTH COAST BAPTIST COLLEGE,1.177835841,
1 Craigie Place,Mundaring,610000,4,2,3,1869,167,1985,Midland Station,15300,6073,MUNDARING CHRISTIAN COLLEGE,1.85123134,
1 Crest Grove,Ballajura,465000,4,2,2,803,173,1988,Maylands Station,10300,6066,BALLAJURA COMMUNITY COLLEGE,1.093248838,133
1 Creswick Cross,Kiara,454000,4,2,2,545,160,1993,Bassendean Station,2600,6054,KIARA COLLEGE,0.498502017,
1 Criollo Place,Stratton,380000,3,2,1,514,131,2000,Midland Station,5200,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.339416225,
1 Crivelli Parkway,Ashby,382000,4,2,2,401,186,2005,Joondalup Station,3400,6065,WANNEROO SECONDARY COLLEGE,3.125568727,131
1 Crowley Vista,Salter Point,1150000,4,2,2,527,209,2001,Canning Bridge Station,1100,6152,AQUINAS COLLEGE,0.825074471,23
1 Curruthers Road,Mount Pleasant,2200000,2,1,2,1100,497,1958,Bull Creek Station,1200,6153,AQUINAS COLLEGE,1.335488696,23
1 Cypress Mews,Warnbro,375000,4,2,4,580,140,2006,Warnbro Station,1100,6169,SOUTH COAST BAPTIST COLLEGE,1.362244876,
1 Dagostino Road,Byford,495000,4,2,2,694,246,2010,Armadale Station,7900,6122,BYFORD SECONDARY COLLEGE,0.923652274,116
1 Dalkey Way,Darch,445000,3,2,2,327,171,2008,Greenwood Station,5800,6065,ASHDALE SECONDARY COLLEGE,0.308294072,75
1 Danzil Street,Willagee,515000,4,2,1,450,150,2002,Fremantle Station,5000,6156,MELVILLE SENIOR HIGH SCHOOL,1.000877238,61
1 Datchet Turn,Bertram,270000,3,2,2,271,109,2011,Kwinana Station,447,6167,THE KING'S COLLEGE,1.862234,
1 David Street,Mullaloo,780000,5,2,2,810,180,1977,Edgewater Station,4000,6027,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.909756021,58
1 Davis Court,Woodlands,1280000,4,3,4,701,264,1980,Stirling Station,1500,6018,CHURCHLANDS SENIOR HIGH SCHOOL,1.407735111,22
1 Daybreak Loop,Wellard,410000,4,2,2,465,206,2015,Wellard Station,3600,6170,THE KING'S COLLEGE,1.834417864,
1 Dean Place,Lockridge,425000,4,2,1,666,143,1983,Bassendean Station,2900,6054,KIARA COLLEGE,0.965913853,
1 Dean Road,Bateman,599900,3,1,NULL,807,126,1968,Bull Creek Station,888,6150,CORPUS CHRISTI COLLEGE,1.191640886,28
1 Delphi Court,Rossmoyne,1330000,3,2,2,1133,135,1974,Bull Creek Station,2000,6148,AQUINAS COLLEGE,1.246711777,23
1 Denton Street,Wembley,732000,3,1,2,328,145,1990,Subiaco Station,786,6014,PERTH MODERN SCHOOL,1.895645261,1
1 Dermer Road,Beaconsfield,530000,3,2,2,1319,133,NULL,Fremantle Station,3100,6162,FREMANTLE COLLEGE,0.447866299,128
1 Deverell Way,Bentley,465000,3,2,3,327,136,2012,Welshpool Station,2400,6102,CANNING COLLEGE,1.026150637,
1 Dilkera Place,Quinns Rocks,380000,3,2,2,646,168,1995,Butler Station,3400,6030,ALKIMOS BAPTIST COLLEGE,0.868965622,
1 Dirk Hartog Road,Bull Creek,572000,3,1,2,483,115,NULL,Murdoch Station,971,6149,CORPUS CHRISTI COLLEGE,1.360938723,28
1 Discovery Circuit,Iluka,1300000,5,3,4,770,350,2002,Currambine Station,3000,6028,PRENDIVILLE CATHOLIC COLLEGE,2.004713285,60
1 Disney Street,Brentwood,710250,4,2,2,434,139,1990,Bull Creek Station,956,6153,CORPUS CHRISTI COLLEGE,1.638101329,28
1 Dolomite Road,Carine,835000,5,2,2,755,197,1986,Warwick Station,2600,6020,CARINE SENIOR HIGH SCHOOL,0.480123334,47
1 Dolphin Way,Beldon,400000,3,1,NULL,683,86,1978,Edgewater Station,2100,6027,BELRIDGE SECONDARY COLLEGE,0.667723522,102
1 Doradeen Close,Hillman,275000,3,1,1,761,94,1988,Rockingham Station,504,6168,KOLBE CATHOLIC COLLEGE,1.209319367,97
1 Doram Court,Swan View,335000,3,1,NULL,686,133,1985,Midland Station,4700,6056,SWAN VIEW SENIOR HIGH SCHOOL,1.403763418,
1 Driftwood Way,Bennett Springs,400000,4,2,2,582,153,2001,Bassendean Station,5200,6063,KIARA COLLEGE,2.594560669,
1 Driver Road,Darch,532000,4,2,2,653,191,2004,Greenwood Station,6200,6065,ASHDALE SECONDARY COLLEGE,0.719530581,75
1 Dunbar Road,Claremont,1700000,3,2,4,613,125,NULL,Claremont Station,663,6010,CHRIST CHURCH GRAMMAR SCHOOL,1.04302095,3
1 Durant Way,Brentwood,820000,3,2,2,419,162,2006,Bull Creek Station,329,6153,CORPUS CHRISTI COLLEGE,1.542048155,28
1 Dutton Way,Singleton,385000,3,1,NULL,913,112,1983,Mandurah Station,8500,6175,MANDURAH BAPTIST COLLEGE,3.005511497,109
1 Duxford Street,Butler,427000,4,2,4,673,153,2002,Butler Station,1600,6036,BUTLER COLLEGE,0.890164439,39
1 East Street,Mount Hawthorn,660000,2,2,2,376,100,1962,Glendalough Station,1300,6016,BOLD PARK COMMUNITY SCHOOL,0.657248104,
1 Eastfield Court,Ferndale,250000,3,1,1,955,396,2017,Queens Park Station,2700,6148,FOUNTAIN COLLEGE,1.571153648,
1 Easton Court,Boya,508000,4,2,2,1010,157,1993,Midland Station,5700,6056,TREETOPS MONTESSORI SCHOOL,2.091303843,
1 Edelweiss Way,Beckenham,415000,4,2,2,538,115,1994,Beckenham Station,721,6107,REHOBOTH CHRISTIAN COLLEGE,1.987841232,
1 Edgecombe Pass,Aveley,550000,4,3,3,741,254,2008,Woodbridge Station,11200,6069,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.340289158,53
1 El Porto Way,Iluka,935000,4,2,2,623,280,2007,Currambine Station,2000,6028,PRENDIVILLE CATHOLIC COLLEGE,2.811932288,60
1 Elfin Grove,Warnbro,380000,3,2,3,759,179,1994,Warnbro Station,1500,6169,WARNBRO COMMUNITY HIGH SCHOOL,0.767481717,
1 Elvire Street,Midland,349000,2,1,NULL,927,106,1930,Midland Station,633,6056,LA SALLE COLLEGE,0.882476511,53
1 Empress Crescent,Atwell,470000,4,2,2,701,168,1998,Cockburn Central Station,687,6164,ATWELL COLLEGE,1.668099473,129
1 Epping Court,High Wycombe,475000,4,2,2,500,197,2007,Midland Station,4700,6057,YOUTH FUTURES COMMUNITY SCHOOL,4.567599088,
1 Ericht Pass,Kinross,577500,4,2,2,674,161,NULL,Currambine Station,1500,6028,LAKE JOONDALUP BAPTIST COLLEGE,3.193656944,80
1 Estevan Way,Ferndale,490000,4,2,5,700,79,1975,Queens Park Station,3000,6148,FOUNTAIN COLLEGE,0.862462185,
1 Ethel Street,Guildford,715000,4,2,1,380,160,1900,Guildford Station,249,6055,GUILDFORD GRAMMAR SCHOOL,1.585287253,52
1 Etna Place,Rossmoyne,1100000,4,3,NULL,520,240,2009,Bull Creek Station,2200,6148,AQUINAS COLLEGE,1.158669082,23
1 Eudora Way,North Coogee,1130000,4,2,2,495,241,2009,Fremantle Station,6300,6163,PORT SCHOOL,2.772469998,
1 Facey Road,Gnangara,340000,4,1,NULL,40864,180,1978,Edgewater Station,8900,6077,LANDSDALE CHRISTIAN SCHOOL,4.193281125,
1 Fairetha Court,Ascot,720000,4,3,2,528,189,1997,Bassendean Station,2600,6104,CYRIL JACKSON SENIOR CAMPUS,1.640449703,
1 Fairhaven Terrace,Hillarys,1075000,4,2,NULL,451,282,2003,Whitfords Station,4600,6025,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.996087493,58
1 Fallow Crescent,Spearwood,475000,4,2,2,427,142,1994,Cockburn Central Station,7700,6163,PORT SCHOOL,3.524725819,
1 Fantail Drive,Bibra Lake,545000,4,2,2,735,170,1984,Cockburn Central Station,3700,6163,PERTH WALDORF SCHOOL,1.675110283,
1 Farrington Street,Warnbro,317500,4,2,2,872,153,1965,Warnbro Station,1900,6169,LIVING WATERS LUTHERAN COLLEGE,0.971267691,51
1 Federal Street,Osborne Park,465000,3,2,2,337,117,2002,Glendalough Station,1900,6017,SERVITE COLLEGE,0.880387756,65
1 Felpham Court,Success,449000,4,2,2,502,185,2004,Cockburn Central Station,1800,6164,EMMANUEL CATHOLIC COLLEGE,1.00425344,58
1 Ferguson Road,Karragullen,150000,4,2,NULL,16392,160,1980,Seaforth Station,8600,6111,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,8.801104301,40
1 Ficarra Way,Sinagra,450000,4,2,2,588,160,NULL,Joondalup Station,3500,6065,WANNEROO SECONDARY COLLEGE,2.339293138,131
1 First Avenue,Woodbridge,525000,3,1,2,607,94,1969,Woodbridge Station,95,6056,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.396606702,130
1 Fischer Road,Darlington,900000,4,3,3,2152,260,1982,Midland Station,7700,6070,HELENA COLLEGE,1.017885879,78
1 Flello Rise,Bedfordale,950000,4,3,3,3102,287,2009,Armadale Station,4300,6112,SOUTHERN HILLS CHRISTIAN COLLEGE,2.663422393,
1 Flemington Way,Redcliffe,375000,3,2,NULL,428,144,2000,Bassendean Station,4600,6104,BELMONT CITY COLLEGE,1.9329279,57
1 Flint Close,Pearsall,522000,4,2,2,641,222,2002,Edgewater Station,3600,6065,ALTA-1,0.88280015,
1 Florey Place,Huntingdale,464000,4,1,4,700,182,1986,Gosnells Station,2800,6110,SOUTHERN RIVER COLLEGE,0.895605369,121
1 Floribunda Gate,Dayton,550000,4,2,2,414,190,NULL,East Guildford Station,4200,6055,SWAN CHRISTIAN COLLEGE,3.636457594,93
1 Forrest Court,Kiara,490000,4,2,2,720,166,1989,Ashfield Station,3000,6054,KIARA COLLEGE,0.979460751,
1 Fort Street,Morley,560000,2,1,NULL,605,185,2006,Meltham Station,1700,6062,JOHN FORREST SECONDARY COLLEGE,0.391701266,74
1 Fortuna View,Iluka,1160000,4,2,3,696,329,2010,Currambine Station,2900,6028,PRENDIVILLE CATHOLIC COLLEGE,2.224726447,60
1 Fortune Street,Balcatta,460000,3,2,2,322,109,1997,Stirling Station,2100,6021,BALCATTA SENIOR HIGH SCHOOL,1.572451796,135
1 Fourth Avenue,Rossmoyne,872000,4,2,2,1029,147,1989,Bull Creek Station,2000,6148,ROSSMOYNE SENIOR HIGH SCHOOL,1.181627789,16
1 Fran Court,Merriwa,335000,3,2,2,653,168,2002,Clarkson Station,3100,6030,QUINNS BAPTIST COLLEGE,0.39948513,118
1 Frederic Street,Koongamia,83000,2,1,2,935,100,1959,Midland Station,4100,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.537533645,
1 Freedman Road,Menora,925000,4,2,4,792,237,1969,Mount Lawley Station,2600,6050,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.777093655,20
1 Gaffin Way,Kwinana Town Centre,330000,3,2,2,203,108,2015,Wellard Station,2400,6167,GILMORE COLLEGE,0.439372574,138
1 Gali Lane,City Beach,1930000,4,3,2,440,307,2012,Swanbourne Station,6000,6015,NEWMAN COLLEGE,1.760861961,44
1 Galilee Way,Baldivis,547000,3,2,2,749,259,2009,Warnbro Station,5000,6171,BALDIVIS SECONDARY COLLEGE,1.228238887,134
1 Gamay Court,The Vines,533000,4,2,NULL,734,243,2001,Midland Station,15400,6069,HOLY CROSS COLLEGE,3.706421588,98
1 Gannett Street,Bateman,460000,2,1,1,807,76,1969,Bull Creek Station,634,6150,CORPUS CHRISTI COLLEGE,1.201104503,28
1 Genesta Place,Two Rocks,405000,4,2,2,819,139,1986,Butler Station,19100,6037,YANCHEP SECONDARY COLLEGE,8.416124395,
1 Georges Close,Kallaroo,1075000,4,2,3,773,330,1989,Whitfords Station,3500,6025,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.592588152,58
1 Gerygone Pass,Tapping,465000,3,2,2,420,185,2007,Currambine Station,3600,6065,JOSEPH BANKS SECONDARY COLLEGE,2.566084751,92
1 Ghost Gum Boulevard,Banksia Grove,335000,4,2,2,373,116,2004,Clarkson Station,6100,6031,JOSEPH BANKS SECONDARY COLLEGE,0.537154986,92
1 Gianatti Ramble,East Cannington,745000,4,2,2,462,337,2008,Beckenham Station,1200,6107,SEVENOAKS SENIOR COLLEGE,1.663004908,114
